gene,symbol,ecocyc_id,start,end,strand
b0335,prpE,G6200,352706,354592,+
b0336,codB,EG11327,354922,356181,+
b0337,codA,EG11326,356171,357454,+
b0338,cynR,EG11421,357791,358690,-
b0339,cynT,EG10176,358799,359458,+
b0340,cynS,EG10175,359489,359959,+
b0341,cynX,EG10177,359992,361146,+
b0342,lacA,EG10524,361249,361860,-
b0343,lacY,EG10526,361926,363179,-
b0344,lacZ,EG10527,363231,366305,-
b0345,lacI,EG10525,366428,367510,-
b0346,mhpR,G6201,367587,368420,-
b0347,mhpA,M010,368611,370275,+
b0348,mhpB,M011,370277,371221,+
b0349,mhpC,M012,371239,372105,+
b0350,mhpD,M013,372115,372924,+
b0351,mhpF,M014,372921,373871,+
b0352,mhpE,G6205,373868,374881,+
b0353,mhpT,G6206,375459,376670,+
b0354,yaiL,G6207,376772,377311,+
b0355,frmB,G6208,377535,378368,-
b0356,frmA,EG50010,378462,379571,-
b0357,frmR,G6209,379606,379881,-
b0358,yaiO,G6210,380069,380842,-
b0360,insC1,G6212,381351,381716,+
b0361,insD1,G6213,381674,382579,+
b0363,yaiP,G6215,382739,383935,-
b4731,ykiC,G0-16726,383960,384079,+
b0364,yaiS,G6216,384059,384616,-
b0365,tauA,G6217,385232,386194,+
b0366,tauB,G6218,386207,386974,+
b0367,tauC,G6219,386971,387798,+
b0368,tauD,EG12423,387795,388646,+
b0369,hemB,EG10428,388753,389727,-
b4767,ytiB,G0-17013,391592,391648,-
b0372,insF2,G6223,391739,392605,-
b0373,insE2,G6224,392602,392901,-
b0375,iprA,G6226,394506,395129,+
b0376,ampH,EG12867,395130,396287,-
b0377,sbmA,EG10928,396639,397859,+
b0378,yaiW,G6227,397872,398966,+
b0379,yaiY,G6228,399025,399333,-
b0380,yaiZ,G6229,399593,399805,+
b0381,ddlA,EG10213,399829,400923,-
b0382,iraP,EG11256,401386,401646,+
b0383,phoA,EG10727,401747,403162,+
b0384,psiF,EG11401,403281,403601,+
b0385,dgcC,EG11257,403703,404818,+
b0386,proC,EG10769,404835,405644,-
b0387,yaiI,G6230,405764,406222,+
b0388,aroL,EG10082,406405,406929,+
b0389,yaiA,EG11093,406979,407170,+
b0390,aroM,EG10083,407428,408105,+
b0391,ppnP,EG12159,408177,408461,+
b4732,ykiD,G0-16727,408947,409030,+
b0393,rdgC,EG12158,409108,410019,-
b0394,mak,EG11288,410144,411052,+
b0396,araJ,EG10060,411297,412481,-
b0397,sbcC,EG10927,412607,415753,-
b0398,sbcD,EG11094,415750,416952,-
b0399,phoB,EG10728,417142,417831,+
b0400,phoR,EG10733,417889,419184,+
b0401,brnQ,EG12168,419591,420910,+
b0402,proY,G6233,420986,422359,+
b0403,malZ,EG10565,422518,424332,+
b0404,acpH,EG11095,424337,424918,-
b0405,queA,EG10812,425011,426081,+
b0406,tgt,EG10996,426137,427264,+
b0407,yajC,EG11096,427287,427619,+
b0408,secD,EG10938,427647,429494,+
b0409,secF,EG10940,429505,430476,+
b0410,yajD,EG11097,430605,430952,+
b0411,tsx,EG11035,431129,432013,-
b0412,yajI,EG12874,432312,432851,-
b0413,nrdR,EG11320,433002,433451,+
b0414,ribD,EG11321,433455,434558,+
b0415,ribE,EG11322,434647,435117,+
b0416,nusB,EG10666,435137,435556,+
b0417,thiL,G6234,435634,436611,+
b0418,pgpA,EG10704,436589,437107,+
b0419,yajO,G6236,437161,438135,-
b0420,dxs,G6237,438315,440177,-
b0421,ispA,EG10508,440202,441101,-
b0422,xseB,EG11098,441101,441343,-
b0423,thiI,G6238,441549,442997,+
b0424,yajL,G198,443051,443641,-
b0425,panE,G6239,443604,444515,-
b0426,yajQ,G6240,444683,445174,+
b0427,yajR,G6241,445302,446666,-
b0428,cyoE,EG10182,446815,447705,-
b0429,cyoD,EG10181,447717,448046,-
b0430,cyoC,EG10180,448046,448660,-
b0431,cyoB,EG10179,448650,450641,-
b0432,cyoA,EG10178,450663,451610,-
b0433,ampG,EG12183,452070,453545,-
b0434,yajG,EG12182,453589,454167,-
b0435,bolA,EG10125,454472,454789,+
b0436,tig,EG11003,455133,456431,+
b0437,clpP,EG10158,456677,457300,+
b0438,clpX,EG10159,457426,458700,+
b0439,lon,EG10542,458888,461242,+
b0440,hupB,EG10467,461451,461723,+
b0441,ppiD,G6242,461915,463786,+
b0442,ybaV,G6243,463937,464308,+
b0443,fadM,G6244,464402,464800,+
b0444,queC,G6245,464852,465547,-
b0445,ybaE,EG13217,465612,467312,-
b0446,cof,G6246,467412,468230,+
b0447,decR,G6247,468383,468841,+
b0448,mdlA,G6248,468871,470643,+
b0449,mdlB,EG11622,470636,472417,+
b0450,glnK,EG12191,472598,472936,+
b0451,amtB,EG11821,472966,474252,+
b0452,tesB,EG10995,474301,475161,-
b0453,ybaY,G6250,475379,475951,+
b0454,ybaZ,G6251,475982,476371,-
b0455,ffs,EG30027,476448,476561,+
b0456,ybaA,EG11099,476672,477025,+
b0457,pdeB,G6252,477067,478617,-
b0458,ylaC,G6253,478781,479251,-
b0459,maa,G58,479367,479918,-
b0460,hha,EG10439,480090,480308,-
b0461,tomB,EG12429,480334,480708,-
b0462,acrB,EG11704,481254,484403,-
b0463,acrA,EG11703,484426,485619,-
b0464,acrR,EG12116,485761,486408,+
b0465,mscK,G6255,486536,489898,+
b0466,ybaM,EG12830,490110,490271,-
b0467,priC,EG10765,490285,490812,-
b0468,ybaN,EG12843,490882,491259,+
b0469,apt,EG10051,491412,491963,+
b0470,dnaX,EG10245,492092,494023,+
b0471,ybaB,EG11100,494076,494405,+
b0472,recR,EG10834,494405,495010,+
b0473,htpG,EG10461,495120,496994,+
b0474,adk,EG10032,497175,497819,+
b0475,hemH,EG10431,498055,499017,+
b0476,aes,EG11101,499014,499973,-
b0477,gsk,EG11102,500125,501429,+
b0478,ybaL,EG12623,501562,503238,-
b0479,fsr,G6256,503476,504696,-
b0480,ushA,EG11060,504914,506566,+
b0481,ybaK,EG12454,506603,507082,-
b4585,chiX,G0-9382,507204,507287,+
b0482,ybaP,G6258,507286,508080,-
b0483,ybaQ,G6259,508218,508559,+
b0484,copA,G6260,508875,511379,-
b0485,glsA,G6261,511641,512573,+
b0486,ybaT,G6262,512576,513868,+
b0487,cueR,G6263,513993,514400,+
b0488,ybbJ,G6264,514401,514859,-
b0489,qmcA,G6265,514856,515773,-
b0490,fetA,G6266,515919,516596,+
b0491,fetB,G6267,516583,517362,+
b0492,cnoX,G6268,517425,518279,-
b0493,ybbO,G6269,518340,519149,-
b0494,tesA,EG11542,519139,519765,-
b0495,ybbA,EG11657,519733,520419,+
b0496,ybbP,G6270,520416,522830,+
b0497,rhsD,EG10849,523261,527541,+
b0498,ybbC,EG11769,527581,527949,+
b0502,ylbG,G6273,529645,530016,-
b0503,selU,EG11768,530132,531226,-
b0504,allS,G6274,531295,532221,-
b0505,allA,G6275,532451,532933,+
b0506,allR,G6276,533011,533826,+
b0507,gcl,EG11583,533916,535697,+
b0508,hyi,G6277,535710,536486,+
b0509,glxR,G6278,536586,537464,+
b0511,allW,G6280,537633,539087,+
b0512,allB,G6281,539147,540508,+
b0513,ybbY,G6282,540565,541866,+
b0514,glxK,G6283,541888,543033,+
b0515,allE,G6284,543261,544046,-
b0516,allC,G6285,544057,545292,-
b0517,allD,G6286,545314,546363,-
b0518,allF,G6287,546680,548347,+
b4572,allG,G6288,548357,549616,+
b0520,allH,G6289,549627,550442,+
b0521,allK,EG12384,550439,551332,+
b0522,purK,EG10796,551527,552594,-
b0523,purE,EG10793,552591,553100,-
b0524,lpxH,EG12666,553218,553940,-
b0525,ppiB,EG10758,553943,554437,-
b0526,cysS,EG10196,554611,555996,+
b0527,ybcI,EG12708,556032,556553,-
b0528,ybcJ,EG12879,556661,556873,-
b0529,folD,EG10328,556875,557741,-
b0530,sfmA,G6290,558212,558754,+
b0531,sfmC,G6291,558974,559666,+
b0532,sfmD,G6292,559697,562300,+
b0533,sfmH,G6293,562336,563319,+
b0534,sfmF,EG12388,563330,563845,+
b0535,fimZ,EG11103,563848,564480,-
b0536,argU,EG30014,564723,564799,+
b0537,intD,EG10507,564815,565978,-
b0540,insE3,G6296,566842,567141,+
b0541,insF3,G6297,567138,568004,+
b0543,emrE,EG10629,568315,568647,+
b4733,ylcJ,G0-16728,568695,568844,+
b0544,ybcK,G6300,568902,570428,+
b0545,ybcL,G6301,570893,571444,+
b0546,ybcM,G6302,571454,572251,+
b4588,ylcH,G0-10584,572368,572469,+
b0547,ybcN,G6303,572466,572921,+
b0548,ninE,G6304,572921,573091,+
b0549,ybcO,G6305,573084,573374,+
b0550,rusA,G6306,573371,573733,+
b4509,ylcG,G0-10435,573730,573870,+
b0551,quuD,G6307,573956,574339,+
b0552,insH2,G6308,574737,575717,-
b0554,essD,G6309,577398,577613,+
b0555,rrrD,G6310,577613,578110,+
b0556,rzpD,G6311,578107,578568,+
b4510,rzoD,G0-10436,578327,578509,+
b0557,borD,G6312,578600,578893,-
b0558,ybcV,G6313,579184,579594,-
b0559,ybcW,G6314,579880,580086,+
b4589,ylcI,G0-10585,580251,580445,-
b0560,nohD,EG11635,580834,581379,+
b0561,tfaD,G6315,581534,582097,+
b0563,tfaX,G6317,582875,583060,+
b0564,appY,EG10050,583681,584430,+
b0565,ompT,EG10673,584680,585633,-
b0566,envY,EG10268,586147,586908,-
b0567,ybcH,EG12448,587091,587981,-
b0568,nfrA,EG11740,587982,590954,-
b0569,nfrB,EG11739,590941,593178,-
b0570,cusS,G6318,593328,594770,-
b0571,cusR,G6319,594760,595443,-
b0572,cusC,G6320,595600,596973,+
b0573,cusF,G6321,597131,597463,+
b0574,cusB,G6322,597479,598702,+
b0575,cusA,EG12367,598714,601857,+
b0576,pheP,EG10708,601959,603335,+
b0577,ybdG,G6323,603416,604663,-
b0578,nfsB,EG50005,604771,605424,-
b0579,ybdF,G6324,605518,605886,-
b0580,ybdJ,G6325,605951,606199,-
b0581,ybdK,G6326,606265,607383,-
b4700,b4700,G0-16677,607734,607792,+
b4415,hokE,G0-9582,607836,607988,+
b0582,insL2,G6327,608065,609177,+
b0583,entD,EG10262,609459,610079,-
b0584,fepA,EG10293,610254,612494,-
b0585,fes,EG10299,612737,613939,+
b4511,ybdZ,G0-10437,613942,614160,+
b0586,entF,EG10264,614157,618038,+
b0587,fepE,EG10297,618254,619387,+
b0588,fepC,EG10295,619384,620199,-
b0589,fepG,EG10298,620196,621188,-
b0590,fepD,EG10296,621185,622189,-
b0591,entS,EG11104,622300,623550,+
b0592,fepB,EG10294,623554,624510,-
b0593,entC,EG10261,624885,626060,+
b0594,entE,EG10263,626070,627680,+
b0595,entB,EG10260,627694,628551,+
b0596,entA,EG10259,628551,629297,+
b0597,entH,EG11105,629300,629713,+
b0598,cstA,EG10167,629894,631999,+
b4512,ybdD,G0-10438,632182,632379,+
b0599,hcxA,EG12692,632389,633477,-
b0600,ybdL,G6329,633586,634746,+
b0601,ybdM,G6330,634747,635376,-
b0602,ybdN,G6331,635349,636569,-
b0603,citR,G6332,636716,637618,-
b0604,dsbG,G6333,637827,638573,-
b0605,ahpC,EG11384,638945,639508,+
b0606,ahpF,EG11385,639753,641318,+
b0607,uspG,G6334,641439,641867,-
b0608,ybdR,G6335,642088,643326,+
b4734,yldA,G0-16729,643330,643419,-
b0610,rnk,G6337,643557,643967,-
b0611,rna,EG10856,644197,645003,-
b0612,citT,G6338,645117,646580,-
b0613,citG,G6339,646631,647509,-
b0614,citX,G6340,647484,648035,-
b0615,citF,G6341,648039,649571,-
b0616,citE,G6342,649582,650490,-
b0617,citD,G6343,650487,650783,-
b0618,citC,G6344,650798,651856,-
b0619,dpiB,G6345,652235,653893,+
b0620,dpiA,G6346,653862,654542,+
b0621,dcuC,G6347,654583,655968,-
b0622,pagP,EG12180,656557,657117,+
b0623,cspE,EG12179,657292,657501,+
b0624,crcB,EG12209,657555,657938,-
b0627,tatE,EG11305,658947,659150,+
b0628,lipA,EG11306,659251,660216,-
b0629,ybeF,EG11594,660425,661378,-
b0630,lipB,EG11591,661637,662278,-
b0631,ybeD,EG11592,662379,662642,-
b0632,dacA,EG10201,662752,663963,-
b0633,rlpA,EG10854,664102,665190,-
b0634,mrdB,EG10607,665201,666313,-
b0635,mrdA,EG10606,666316,668217,-
b0636,rlmH,EG11254,668248,668715,-
b0637,rsfS,EG11255,668719,669036,-
b0638,cobC,G6349,669296,669907,-
b0639,nadD,G6350,669931,670572,-
b0640,holA,EG11412,670574,671605,-
b0641,lptE,EG10855,671605,672186,-
b0642,leuS,EG10532,672201,674783,-
b0643,ybeL,EG12851,675018,675500,+
b0644,ybeQ,G6351,675570,676547,-
b0645,ybeR,G6352,676711,677418,+
b0646,djlB,G6353,677415,678842,+
b0647,ybeT,G6354,678852,679406,-
b0648,ybeU,G6355,679508,680215,+
b0649,djlC,G6356,680212,681663,+
b0650,hscC,G6357,681723,683393,-
b0651,rihA,G6358,683477,684412,-
b0652,gltL,EG12663,684530,685255,-
b0653,gltK,EG12662,685255,685929,-
b0654,gltJ,EG12661,685929,686669,-
b4763,sroC,G0-9383,686681,686843,-
b0655,gltI,G6359,686839,687747,-
b0656,insH3,G6360,687997,688977,-
b0657,lnt,EG10168,689343,690881,-
b0658,ybeX,G6361,690906,691784,-
b0659,ybeY,G6362,691874,692341,-
b0660,ybeZ,G6363,692338,693378,-
b0661,miaB,G6364,693531,694955,-
b0662,ubiF,G6365,695101,696276,+
b0664,glnX,EG30031,696430,696504,-
b0665,glnV,EG30029,696542,696616,-
b0666,metU,EG30059,696664,696740,-
b0668,glnW,EG30030,696756,696830,-
b0670,glnU,EG30028,696865,696939,-
b0672,leuW,EG30052,696963,697047,-
b0673,metT,EG30058,697057,697133,-
